Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Adj Close,Return,Short_MA,Long_MA
2020-03-20,2020,3,20,Friday,11,2020-11,326.91,344.2,298.14,299.95,1802800.0,297.36,-0.07176466329368125,317.9735714285712,303.21479999999997
2020-03-23,2020,3,23,Monday,12,2020-12,310.91,336.8,294.21,323.87,1340500.0,321.07,0.07974655080914461,316.9249999999997,303.92159999999996
2020-03-24,2020,3,24,Tuesday,12,2020-12,341.12,349.0,333.16,343.56,881100.0,340.59,0.06079608457193819,317.09999999999974,305.015
2020-03-25,2020,3,25,Wednesday,12,2020-12,345.48,349.68,320.81,321.45,963100.0,318.67,-0.06435563454865867,316.3349999999997,305.7706
2020-03-26,2020,3,26,Thursday,12,2020-12,323.5,342.0,317.82,338.51,870600.0,335.58,0.0530720021558615,316.5392857142854,306.8424
2020-03-27,2020,3,27,Friday,12,2020-12,328.83,341.99,326.06,338.74,646200.0,335.81,0.0006794029947385649,316.74142857142823,307.8506
2020-03-30,2020,3,30,Monday,13,2020-13,338.65,353.42,333.51,346.75,954400.0,343.75,0.023646546812081892,316.9964285714282,309.0414
2020-03-31,2020,3,31,Tuesday,13,2020-13,325.0,330.84,321.0,324.07,2097000.0,321.27,-0.06540730217627799,316.4435714285711,309.8002
2020-04-01,2020,4,1,Wednesday,13,2020-13,312.01,337.83,310.34,333.77,1200100.0,330.89,0.029931777638035895,317.62357142857115,310.7784
2020-04-02,2020,4,2,Thursday,13,2020-13,330.22,341.57,321.5,333.45,772300.0,330.57,-0.0009587323593707175,318.81499999999966,311.7344
2020-04-03,2020,4,3,Friday,13,2020-13,333.0,338.36,325.1,328.23,571900.0,325.39,-0.015654566491448918,321.7821428571425,312.54499999999996
2020-04-06,2020,4,6,Monday,14,2020-14,340.0,340.84,330.43,338.52,805300.0,335.59,0.031350035395155906,324.5985714285711,313.6174
2020-04-07,2020,4,7,Tuesday,14,2020-14,347.28,351.91,333.82,333.96,737400.0,331.07,-0.013470440571278108,327.71142857142826,314.643
2020-04-08,2020,4,8,Wednesday,14,2020-14,338.89,344.97,333.19,343.83,688100.0,340.86,0.029554374411330242,329.1764285714282,315.839
2020-04-09,2020,4,9,Thursday,14,2020-14,348.0,352.22,340.53,343.64,641300.0,340.67,-0.0005524996423211803,332.26999999999964,317.00559999999996
2020-04-13,2020,4,13,Monday,15,2020-15,344.55,357.97,338.71,355.14,755400.0,352.07,0.03346517583384556,334.48428571428536,318.461
2020-04-14,2020,4,14,Tuesday,15,2020-15,364.45,365.88,353.23,358.26,713400.0,355.16,0.008785312813322399,335.52499999999964,319.991
2020-04-15,2020,4,15,Wednesday,15,2020-15,355.09,360.58,353.39,354.62,703300.0,351.55,-0.010160256140362312,337.8735714285711,321.66639999999995
2020-04-16,2020,4,16,Thursday,15,2020-15,359.06,362.99,356.62,360.47,861900.0,357.35,0.01649653998537648,339.4285714285711,323.4054
2020-04-17,2020,4,17,Friday,15,2020-15,362.58,366.0,355.42,362.97,715400.0,359.83,0.006935396337336641,341.14428571428533,325.1028
2020-04-20,2020,4,20,Monday,16,2020-16,364.66,374.2,364.66,370.48,844000.0,367.28,0.020690447126735734,342.82499999999965,326.92139999999995
2020-04-21,2020,4,21,Tuesday,16,2020-16,370.48,377.34,360.24,365.22,696700.0,362.06,-0.014197889182496537,345.73857142857105,328.7127999999999
2020-04-22,2020,4,22,Wednesday,16,2020-16,373.32,387.85,370.01,383.75,1392500.0,380.43,0.05073656320962572,349.27714285714245,330.8845999999999
2020-04-23,2020,4,23,Thursday,16,2020-16,379.91,380.1,359.0,369.64,2095500.0,366.45,-0.036768642462756795,351.83999999999963,332.75899999999996
2020-04-24,2020,4,24,Friday,16,2020-16,368.98,374.93,363.91,367.29,1035400.0,364.12,-0.006357685849320838,354.6064285714282,334.4823999999999
